Sr.No,Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
1,Who is the founder of indian Cinema ?,Dada Kondke,Nilu Phule,Rajendra Kumar,Dadasaheb Phalke,,,4,Entrance,
2,Which is first 3d Marathi Movie ?,Timepass,Duniyadari,Fandry,Zapatlela 2,,,4,Entrance,
3,Whogives Oggy hindi voice ?,Sunny Deol,Sharukh Khan,Suniel Shetty,Paresh Rawal,,,3,Entrance,
4,Which Studio Made Krishna Animated Movie ?,Prana Studio,Redchillies,Reliance Bigs aims,Primefocus,,,3,Entrance,
5,Which is not Chota Bheem Friend,Chutki,Jaggu,Harry ,Raju,,,3,Entrance,
6,What is the name of panther in jungle book,Prink Panther,Yellow Panther ,baghreera,Dumbo,,,3,Entrance,
7,What is the name of harry Potter character,Bonnie Wright ,Rupert Grint,Daniel Radcliffe,matthew Lewis,,,3,Entrance,
8,Which of these character is not uncle Scrooge's Nephew,Shaggy,Louie,Dewey ,Zuey,,,1,Entrance,
9,Which of one is india sci-fi movie ?,Humshakals,Holidays,Krish 3,Dhoom,,,3,Entrance,
10,which of the indian animated movie bollywood star's given voice ?,Chota Bheem,Mahabharat,Ghatothkach,Krishna & Kans,,,3,Entrance,
11,What is the name of inspector in motu & Patlu ,Chingham,Shingham,Santa ,Banta,,,2,Entrance,
12,What is the name of Doctor in motu & Patlu ,Banta,Ghasiaran,Dr. Jhatka,Boxer,,,3,Entrance,
,,,,,,,,,,
